player_matchName,player_playerId,contestantId,duelLost,aerialLost,player_position,player_positionSide,player_subPosition,successfulOpenPlayPass,totalContest,duelWon,penAreaEntries,accurateBackZonePass,possWonDef3rd,wonContest,accurateFwdZonePass,openPlayPass,totalBackZonePass,minsPlayed,fwdPass,finalThirdEntries,ballRecovery,totalFwdZonePass,successfulFinalThirdPasses,totalFinalThirdPasses,attAssistOpenplay,aerialWon,totalAttAssist,possWonMid3rd,interception,totalCrossNocorner,interceptionWon,attOpenplay,touchesInOppBox,attemptsIbox,totalThroughBall,possWonAtt3rd,accurateCrossNocorner,bigChanceCreated,accurateThroughBall,totalLayoffs,accurateLayoffs,totalFastbreak,shotFastbreak,formationUsed,goals,label,match_id,date
M. Junas,1xq8r9g0n0zp1augg3wrihlg5,8z6b1xgghbcalbv9dg1jcmb5k,NaN,NaN,Goalkeeper,Centre,NaN,9,NaN,NaN,NaN,9,1,NaN,2,11,13,90,12,1,4,3,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,4141,,Skalica vs Zemplín Michalovce,d55jpszoyqm0vuc8alquibqqc,2024-07-27
M. Černek,as9w12k4pcyxfkpuvtld9skph,8z6b1xgghbcalbv9dg1jcmb5k,8,1,Defender,Left,NaN,28,4,9,7,10,2,1,19,38,14,90,16,10,4,30,11,17,NaN,4,NaN,2,2,5,2,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,4141,,Skalica vs Zemplín Michalovce,d55jpszoyqm0vuc8alquibqqc,2024-07-27
M. Hrádecký,eic5aqr8l99rhm9udams7dlg5,8z6b1xgghbcalbv9dg1jcmb5k,4,2,Defender,Left/Centre,NaN,48,NaN,8,NaN,26,NaN,NaN,28,58,26,90,35,10,1,38,8,11,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,1,1,NaN,NaN,4141,,Skalica vs Zemplín Michalovce,d55jpszoyqm0vuc8alquibqqc,2024-07-27
M. Ranko,9n6cczdnnmgfvhgxk6wqfob11,8z6b1xgghbcalbv9dg1jcmb5k,NaN,NaN,Defender,Centre/Right,NaN,37,NaN,1,NaN,21,2,NaN,19,43,26,90,18,3,4,20,5,5,NaN,NaN,NaN,2,2,NaN,2,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,4141,,Skalica vs Zemplín Michalovce,d55jpszoyqm0vuc8alquibqqc,2024-07-27
M. Nagy,1c2chlc4b6b98wmjqmfwul711,8z6b1xgghbcalbv9dg1jcmb5k,2,1,Defender,Right,NaN,41,1,4,4,17,4,1,33,51,20,90,31,20,6,42,24,29,NaN,NaN,NaN,2,3,3,3,3,NaN,NaN,,NaN,1,NaN,,NaN,NaN,NaN,NaN,4141,,Skalica vs Zemplín Michalovce,d55jpszoyqm0vuc8alquibqqc,2024-07-27
A. Kopas,elzmfhikf7pi2pofuu2zd933d,8z6b1xgghbcalbv9dg1jcmb5k,2,NaN,Defensive Midfielder,Centre,NaN,28,NaN,2,2,11,4,NaN,19,33,12,74,14,9,10,23,12,13,1,NaN,1,6,1,NaN,1,2,NaN,NaN,,NaN,NaN,NaN,,3,3,NaN,NaN,4141,,Skalica vs Zemplín Michalovce,d55jpszoyqm0vuc8alquibqqc,2024-07-27
R. Matějov,j71l4z2mfwicz99tib9b71zp,8z6b1xgghbcalbv9dg1jcmb5k,3,1,Midfielder,Left,NaN,18,NaN,1,5,7,4,NaN,12,26,8,59,8,2,5,20,8,15,2,NaN,2,1,NaN,1,NaN,NaN,1,NaN,,NaN,NaN,NaN,,1,1,NaN,NaN,4141,,Skalica vs Zemplín Michalovce,d55jpszoyqm0vuc8alquibqqc,2024-07-27
Davi Alves,33bi7y8jn984bxktox4xmmw44,8z6b1xgghbcalbv9dg1jcmb5k,7,NaN,Midfielder,Left/Centre,NaN,14,5,7,5,1,NaN,3,17,20,2,64,8,4,NaN,24,13,18,1,NaN,2,NaN,1,2,1,2,5,1,,NaN,NaN,NaN,,1,1,NaN,NaN,4141,,Skalica vs Zemplín Michalovce,d55jpszoyqm0vuc8alquibqqc,2024-07-27
A. Morong,alnhvswa0mkn6ls9x2fomlexh,8z6b1xgghbcalbv9dg1jcmb5k,5,1,Midfielder,Centre/Right,NaN,11,4,3,4,2,NaN,2,11,17,2,59,4,1,1,20,7,11,NaN,NaN,NaN,1,NaN,5,NaN,1,3,1,,NaN,2,NaN,,2,1,1,1,4141,,Skalica vs Zemplín Michalovce,d55jpszoyqm0vuc8alquibqqc,2024-07-27
A. Krčík,43ssius9znhjpkfvc93go6wa1,8z6b1xgghbcalbv9dg1jcmb5k,4,NaN,Midfielder,Right,NaN,34,2,5,7,6,1,1,29,46,7,90,19,3,3,44,19,26,2,1,2,1,NaN,5,NaN,1,3,1,,1,1,NaN,,NaN,NaN,NaN,NaN,4141,,Skalica vs Zemplín Michalovce,d55jpszoyqm0vuc8alquibqqc,2024-07-27
M. Fábry,eh68vlclvqqtjt3it7sk0y8rt,8z6b1xgghbcalbv9dg1jcmb5k,2,2,Striker,Centre,NaN,10,NaN,3,NaN,4,NaN,NaN,7,15,5,74,5,1,1,11,5,7,1,1,1,1,NaN,NaN,NaN,NaN,2,1,,NaN,NaN,NaN,,1,1,NaN,NaN,4141,,Skalica vs Zemplín Michalovce,d55jpszoyqm0vuc8alquibqqc,2024-07-27
A. Gaži,218jan56ksky7oqrakbci8962,8z6b1xgghbcalbv9dg1jcmb5k,NaN,NaN,Substitute,NaN,Midfielder,11,NaN,3,NaN,1,NaN,NaN,10,12,1,31,2,NaN,1,11,9,9,1,NaN,1,NaN,1,NaN,1,NaN,1,NaN,,1,NaN,NaN,,NaN,NaN,NaN,NaN,4141,,Skalica vs Zemplín Michalovce,d55jpszoyqm0vuc8alquibqqc,2024-07-27
L. Hroššo,ch6on1y60ysoeet0u3tgowafp,8z6b1xgghbcalbv9dg1jcmb5k,NaN,NaN,Substitute,NaN,Goalkeeper,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,4141,,Skalica vs Zemplín Michalovce,d55jpszoyqm0vuc8alquibqqc,2024-07-27
T. Jibril,byr9qyjrfu4d2apghzmtgje5m,8z6b1xgghbcalbv9dg1jcmb5k,3,NaN,Substitute,NaN,Attacker,1,NaN,1,NaN,1,NaN,NaN,NaN,4,1,16,1,NaN,NaN,3,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,1,2,2,,NaN,NaN,NaN,,1,NaN,NaN,NaN,4141,,Skalica vs Zemplín Michalovce,d55jpszoyqm0vuc8alquibqqc,2024-07-27
M. Mášík,417pgu52k0kpuqk56tp11wzu2,8z6b1xgghbcalbv9dg1jcmb5k,1,NaN,Substitute,NaN,Midfielder,8,NaN,2,1,2,1,NaN,8,12,3,16,4,4,5,11,3,4,NaN,NaN,1,4,NaN,1,NaN,NaN,NaN,NaN,,NaN,1,1,,1,NaN,NaN,NaN,4141,,Skalica vs Zemplín Michalovce,d55jpszoyqm0vuc8alquibqqc,2024-07-27
Kauã Moura,cpawfyedpl2gtjl8mj7gdh2xg,8z6b1xgghbcalbv9dg1jcmb5k,NaN,NaN,Substitute,NaN,Defender,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,4141,,Skalica vs Zemplín Michalovce,d55jpszoyqm0vuc8alquibqqc,2024-07-27
J. Vlasko,a2hptjjaufyagci1guclx68d1,8z6b1xgghbcalbv9dg1jcmb5k,1,1,Substitute,NaN,Attacker,8,NaN,3,2,2,NaN,NaN,7,11,3,26,5,2,1,11,6,8,NaN,1,NaN,1,NaN,NaN,NaN,1,2,1,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,4141,,Skalica vs Zemplín Michalovce,d55jpszoyqm0vuc8alquibqqc,2024-07-27
Y. Yao,cajlkem80tfpzbn2sny7ek8kq,8z6b1xgghbcalbv9dg1jcmb5k,1,1,Substitute,NaN,Midfielder,12,NaN,NaN,3,3,2,NaN,9,15,4,31,8,NaN,3,13,7,8,2,NaN,2,1,2,2,2,NaN,2,NaN,,NaN,NaN,NaN,,1,1,NaN,NaN,4141,,Skalica vs Zemplín Michalovce,d55jpszoyqm0vuc8alquibqqc,2024-07-27
P. Lukáč,dgim6o077wlggrxfw9t8tydat,1qm038k9aqtouv4i738utxwdo,NaN,NaN,Goalkeeper,Centre,NaN,12,NaN,1,NaN,15,1,NaN,4,26,18,90,23,7,7,18,NaN,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,4231,,Skalica vs Zemplín Michalovce,d55jpszoyqm0vuc8alquibqqc,2024-07-27
I. Žofčák,cflltphsio8xaxhuhn70wx4gl,1qm038k9aqtouv4i738utxwdo,2,NaN,Defender,Left,NaN,26,NaN,4,1,20,6,NaN,6,31,21,90,17,3,6,12,NaN,2,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,4231,,Skalica vs Zemplín Michalovce,d55jpszoyqm0vuc8alquibqqc,2024-07-27
P. Volanakis,82l95d7jh9f8em7w6dn7smgpg,1qm038k9aqtouv4i738utxwdo,2,NaN,Defender,Left/Centre,NaN,33,1,3,3,36,4,1,3,49,42,90,21,8,4,14,NaN,8,1,1,1,NaN,1,1,1,NaN,NaN,NaN,,NaN,1,NaN,,NaN,NaN,NaN,NaN,4231,,Skalica vs Zemplín Michalovce,d55jpszoyqm0vuc8alquibqqc,2024-07-27
D. Taraduda,7fjouk68ko4vy0qcz6fs0wl0q,1qm038k9aqtouv4i738utxwdo,1,NaN,Defender,Centre/Right,NaN,44,NaN,3,NaN,43,1,NaN,6,49,45,90,19,4,3,9,2,4,NaN,2,NaN,2,1,NaN,1,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,4231,,Skalica vs Zemplín Michalovce,d55jpszoyqm0vuc8alquibqqc,2024-07-27
L. Šimko,2tim10de6mjduagwk6r8dcrca,1qm038k9aqtouv4i738utxwdo,1,1,Defender,Right,NaN,20,NaN,7,NaN,11,4,NaN,11,29,13,90,15,3,4,18,4,7,1,1,1,NaN,2,1,2,NaN,2,NaN,,NaN,1,NaN,,NaN,NaN,NaN,NaN,4231,,Skalica vs Zemplín Michalovce,d55jpszoyqm0vuc8alquibqqc,2024-07-27
A. Zubairu,2epom5c0lfo6kxj7pqvz8m6zt,1qm038k9aqtouv4i738utxwdo,6,1,Defensive Midfielder,Left/Centre,NaN,35,NaN,1,1,22,4,NaN,14,45,28,90,18,5,11,18,6,10,NaN,NaN,NaN,6,1,NaN,1,NaN,NaN,NaN,,1,NaN,NaN,,3,3,NaN,NaN,4231,,Skalica vs Zemplín Michalovce,d55jpszoyqm0vuc8alquibqqc,2024-07-27
M. Bednár,82lo0di4kinipycvz4zhl7ld5,1qm038k9aqtouv4i738utxwdo,1,NaN,Defensive Midfielder,Centre/Right,NaN,14,NaN,1,NaN,9,1,NaN,5,15,9,45,2,NaN,1,6,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,,NaN,NaN,NaN,,2,2,NaN,NaN,4231,,Skalica vs Zemplín Michalovce,d55jpszoyqm0vuc8alquibqqc,2024-07-27
I. Adekunle,9kk9g2kgy58sv75pfj9sto5wp,1qm038k9aqtouv4i738utxwdo,5,2,Attacking Midfielder,Left,NaN,18,2,6,1,7,3,2,11,21,8,67,8,5,4,14,9,9,NaN,1,NaN,1,NaN,1,NaN,NaN,1,NaN,,NaN,NaN,NaN,,1,1,NaN,NaN,4231,,Skalica vs Zemplín Michalovce,d55jpszoyqm0vuc8alquibqqc,2024-07-27
E. Arevalo,6af32dsaqietkepdi4sblamp6,1qm038k9aqtouv4i738utxwdo,8,1,Attacking Midfielder,Centre,NaN,14,2,2,3,6,1,NaN,9,21,7,89,8,4,3,17,5,9,1,1,1,2,NaN,2,NaN,1,2,1,,NaN,NaN,NaN,,1,1,NaN,NaN,4231,,Skalica vs Zemplín Michalovce,d55jpszoyqm0vuc8alquibqqc,2024-07-27
D. Petrík,2c82zo4uxt5hsojmq5eoxbytw,1qm038k9aqtouv4i738utxwdo,8,NaN,Attacking Midfielder,Right,NaN,13,4,7,2,6,2,3,7,23,10,90,8,3,3,14,3,8,NaN,NaN,NaN,NaN,2,NaN,2,1,1,1,,1,NaN,NaN,,NaN,NaN,NaN,NaN,4231,,Skalica vs Zemplín Michalovce,d55jpszoyqm0vuc8alquibqqc,2024-07-27
G. van Kessel,89mrojg2kewrjikl5iugqrz6d,1qm038k9aqtouv4i738utxwdo,7,NaN,Striker,Centre,NaN,8,4,NaN,3,6,2,NaN,3,14,6,67,3,2,3,10,1,7,2,NaN,2,1,NaN,2,NaN,3,6,2,,NaN,1,1,,NaN,NaN,NaN,NaN,4231,,Skalica vs Zemplín Michalovce,d55jpszoyqm0vuc8alquibqqc,2024-07-27
C. Makrygiannis,cz76ey3uk26bq5psphzs653bo,1qm038k9aqtouv4i738utxwdo,NaN,NaN,Substitute,NaN,Defender,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,4231,,Skalica vs Zemplín Michalovce,d55jpszoyqm0vuc8alquibqqc,2024-07-27
M. Marcin,463e49o3i91ihutgy2q4zsd79,1qm038k9aqtouv4i738utxwdo,4,2,Substitute,NaN,Attacker,5,1,3,NaN,1,NaN,NaN,4,11,2,23,7,3,NaN,9,4,5,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,4231,,Skalica vs Zemplín Michalovce,d55jpszoyqm0vuc8alquibqqc,2024-07-27
A. Musák,3y1hr2kxzhzcmv1dllixjbo5w,1qm038k9aqtouv4i738utxwdo,NaN,NaN,Substitute,NaN,Midfielder,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,4231,,Skalica vs Zemplín Michalovce,d55jpszoyqm0vuc8alquibqqc,2024-07-27
E. Pačinda,bw7g40ihk5of1c2ax4v0s4p91,1qm038k9aqtouv4i738utxwdo,5,1,Substitute,NaN,Attacker,8,2,1,2,4,1,NaN,4,11,5,23,6,3,1,7,4,6,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,4231,,Skalica vs Zemplín Michalovce,d55jpszoyqm0vuc8alquibqqc,2024-07-27
Samuel Ramos,3s6h7ah3aw6x091rky1zu3tka,1qm038k9aqtouv4i738utxwdo,NaN,NaN,Substitute,NaN,Midfielder,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,4231,,Skalica vs Zemplín Michalovce,d55jpszoyqm0vuc8alquibqqc,2024-07-27
Y. Shimamura,7zmtrgppv7pv6kbxz7tff31n8,1qm038k9aqtouv4i738utxwdo,2,1,Substitute,NaN,Midfielder,11,NaN,4,NaN,5,2,NaN,6,15,7,45,7,1,3,8,3,5,NaN,1,NaN,1,1,NaN,1,1,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,4231,,Skalica vs Zemplín Michalovce,d55jpszoyqm0vuc8alquibqqc,2024-07-27
I. Tiurin,c7f5qrcnpn4jfthdpud67gvhm,1qm038k9aqtouv4i738utxwdo,NaN,NaN,Substitute,NaN,Goalkeeper,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,4231,,Skalica vs Zemplín Michalovce,d55jpszoyqm0vuc8alquibqqc,2024-07-27
A. Danko,1lxsyoos06fqbsi6skcm974a2,htdr7aa5cwjma1fy1nob7sb7,NaN,NaN,Goalkeeper,Centre,NaN,13,NaN,NaN,1,14,3,NaN,6,24,17,90,27,9,9,18,2,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,343,,Podbrezová vs Žilina,d5q0r2gr3hjaye71bd20ijrx0,2024-07-27
M. Mrva,5eqw9xo4lpkewsehpiauhsui2,htdr7aa5cwjma1fy1nob7sb7,2,1,Defender,Left/Centre,NaN,9,NaN,6,4,9,1,NaN,1,14,13,90,7,4,1,3,1,3,NaN,2,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,343,,Podbrezová vs Žilina,d5q0r2gr3hjaye71bd20ijrx0,2024-07-27
M. Oravec,6a33ylquco39t515pwi5itk2x,htdr7aa5cwjma1fy1nob7sb7,2,1,Defender,Centre,NaN,20,NaN,4,NaN,17,5,NaN,8,30,23,90,20,7,6,14,3,8,NaN,3,NaN,1,2,NaN,2,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,343,,Podbrezová vs Žilina,d5q0r2gr3hjaye71bd20ijrx0,2024-07-27
K. Koštrna,bq1i8z906frmxd7upktyfcgd1,htdr7aa5cwjma1fy1nob7sb7,3,NaN,Defender,Centre/Right,NaN,18,NaN,6,5,10,2,NaN,10,24,13,90,16,8,5,16,4,8,NaN,2,NaN,3,NaN,2,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,343,,Podbrezová vs Žilina,d5q0r2gr3hjaye71bd20ijrx0,2024-07-27
M. Grešák,cxvice5160oird04qkfcwkzjd,htdr7aa5cwjma1fy1nob7sb7,7,2,Midfielder,Left,NaN,12,1,10,5,3,3,NaN,13,22,7,90,15,3,3,22,7,11,3,3,3,NaN,3,4,3,1,2,1,,NaN,1,1,,NaN,NaN,NaN,NaN,343,,Podbrezová vs Žilina,d5q0r2gr3hjaye71bd20ijrx0,2024-07-27
R. Paraj,bs25e89htou4kucgz3c9thej9,htdr7aa5cwjma1fy1nob7sb7,8,5,Midfielder,Left/Centre,NaN,9,NaN,5,NaN,1,NaN,NaN,8,14,3,90,6,4,3,11,5,6,NaN,4,NaN,3,NaN,NaN,NaN,2,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,343,,Podbrezová vs Žilina,d5q0r2gr3hjaye71bd20ijrx0,2024-07-27
S. Faško,6l5nyyhk1f31h85a0lsyb74lw,htdr7aa5cwjma1fy1nob7sb7,4,NaN,Midfielder,Centre/Right,NaN,10,NaN,5,3,5,1,NaN,6,19,8,71,7,3,2,13,2,8,1,NaN,1,1,1,NaN,1,NaN,1,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,343,,Podbrezová vs Žilina,d5q0r2gr3hjaye71bd20ijrx0,2024-07-27
M. Talakov,6tx2gl3bxb555xzy5w7q42r8q,htdr7aa5cwjma1fy1nob7sb7,4,NaN,Midfielder,Right,NaN,7,1,4,NaN,1,1,NaN,6,10,2,56,2,3,4,8,2,3,NaN,NaN,NaN,3,NaN,NaN,NaN,2,2,2,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,343,,Podbrezová vs Žilina,d5q0r2gr3hjaye71bd20ijrx0,2024-07-27
P. Juritka,cmglu8v2ydovsaiw988b5cr9w,htdr7aa5cwjma1fy1nob7sb7,5,2,Striker,Left/Centre,NaN,9,1,7,1,3,NaN,NaN,7,14,4,86,3,NaN,1,11,5,9,2,2,2,1,1,NaN,1,1,4,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,343,,Podbrezová vs Žilina,d5q0r2gr3hjaye71bd20ijrx0,2024-07-27
D. Smékal,7d652ns7jnbtq16jpq06qml1w,htdr7aa5cwjma1fy1nob7sb7,7,5,Striker,Centre,NaN,4,1,11,2,NaN,NaN,NaN,4,10,NaN,71,4,2,1,10,3,7,NaN,6,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,,1,NaN,NaN,,NaN,NaN,NaN,NaN,343,,Podbrezová vs Žilina,d5q0r2gr3hjaye71bd20ijrx0,2024-07-27
A. Yirajang,ezec1c8uli4wz18eaysm5fuok,htdr7aa5cwjma1fy1nob7sb7,7,3,Striker,Centre/Right,NaN,3,2,2,1,NaN,NaN,2,3,3,NaN,55,1,1,2,3,3,3,NaN,NaN,NaN,1,NaN,NaN,NaN,1,1,1,,1,NaN,NaN,,NaN,NaN,NaN,NaN,343,,Podbrezová vs Žilina,d5q0r2gr3hjaye71bd20ijrx0,2024-07-27
P. Bajza,3j8xwqfdkhecuepoh6s6sh4gl,htdr7aa5cwjma1fy1nob7sb7,NaN,NaN,Substitute,NaN,Goalkeeper,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,343,,Podbrezová vs Žilina,d5q0r2gr3hjaye71bd20ijrx0,2024-07-27
V. Chyla,dyne11pf74cddy5qm9q0cbqc4,htdr7aa5cwjma1fy1nob7sb7,1,NaN,Substitute,NaN,Midfielder,7,NaN,2,NaN,1,1,NaN,6,8,2,19,1,3,1,6,6,6,1,NaN,1,NaN,NaN,NaN,NaN,NaN,1,1,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,343,,Podbrezová vs Žilina,d5q0r2gr3hjaye71bd20ijrx0,2024-07-27
D. Depetris,cp1i86uxyxv6l5xla4mw32zth,htdr7aa5cwjma1fy1nob7sb7,2,2,Substitute,NaN,Attacker,2,NaN,1,NaN,NaN,NaN,NaN,2,6,NaN,19,5,3,NaN,6,2,5,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,343,,Podbrezová vs Žilina,d5q0r2gr3hjaye71bd20ijrx0,2024-07-27
R. Galčík,2h8ono3z5nscm9pngv3mak0oa,htdr7aa5cwjma1fy1nob7sb7,4,NaN,Substitute,NaN,Attacker,5,2,1,4,1,NaN,NaN,7,10,1,35,4,3,NaN,15,6,10,1,1,1,NaN,NaN,2,NaN,NaN,2,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,343,,Podbrezová vs Žilina,d5q0r2gr3hjaye71bd20ijrx0,2024-07-27
A. Markovic,4fuzlwry4gqghvvzem4fvxlhw,htdr7aa5cwjma1fy1nob7sb7,NaN,NaN,Substitute,NaN,Defender,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,343,,Podbrezová vs Žilina,d5q0r2gr3hjaye71bd20ijrx0,2024-07-27
A. Masaryk,eu6y488eb9zhaf6cqp9gu16ok,htdr7aa5cwjma1fy1nob7sb7,NaN,NaN,Substitute,NaN,Attacker,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,343,,Podbrezová vs Žilina,d5q0r2gr3hjaye71bd20ijrx0,2024-07-27
K. Saliman,72se229vb7nk9vmop6w6tebdg,htdr7aa5cwjma1fy1nob7sb7,3,2,Substitute,NaN,Attacker,3,NaN,1,3,1,1,NaN,2,5,1,4,2,NaN,2,4,1,3,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,1,NaN,NaN,,NaN,NaN,NaN,NaN,343,,Podbrezová vs Žilina,d5q0r2gr3hjaye71bd20ijrx0,2024-07-27
R. Sanusi,3bc1w51ucrvl6kice2eoojkes,htdr7aa5cwjma1fy1nob7sb7,NaN,NaN,Substitute,NaN,Attacker,7,3,5,NaN,2,1,3,5,12,3,34,5,2,3,9,3,6,1,NaN,1,2,NaN,NaN,NaN,1,6,2,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,343,,Podbrezová vs Žilina,d5q0r2gr3hjaye71bd20ijrx0,2024-07-27
S. Štefánik,3yvh2wn1zvnzdl0y1d6n3x7th,htdr7aa5cwjma1fy1nob7sb7,NaN,NaN,Substitute,NaN,Midfielder,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,343,,Podbrezová vs Žilina,d5q0r2gr3hjaye71bd20ijrx0,2024-07-27
Ľ. Belko,82ygb1o73bmez9ojb8xuqxmju,c6q7rcydz4bslvyiw1l9nb9vq,NaN,NaN,Goalkeeper,Centre,NaN,20,NaN,3,1,23,1,NaN,NaN,28,25,90,14,5,11,7,NaN,5,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,343,,Podbrezová vs Žilina,d5q0r2gr3hjaye71bd20ijrx0,2024-07-27
J. Ndjeungoue,1awtxdlrr3ph4q7wj62oag4r8,c6q7rcydz4bslvyiw1l9nb9vq,7,4,Defender,Left/Centre,NaN,44,1,7,1,35,NaN,NaN,13,51,39,90,26,6,1,16,6,7,NaN,3,NaN,1,2,NaN,2,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,343,,Podbrezová vs Žilina,d5q0r2gr3hjaye71bd20ijrx0,2024-07-27
A. Stojchevski,1ay3ef800f635ki7nks9w9re,c6q7rcydz4bslvyiw1l9nb9vq,6,4,Defender,Centre,NaN,58,NaN,10,NaN,54,2,NaN,11,66,56,90,25,4,2,17,2,5,NaN,6,NaN,NaN,1,NaN,1,NaN,1,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,343,,Podbrezová vs Žilina,d5q0r2gr3hjaye71bd20ijrx0,2024-07-27
J. Minárik,5uc8bmbfp3izb9s0gvqwq7yl1,c6q7rcydz4bslvyiw1l9nb9vq,1,NaN,Defender,Centre/Right,NaN,29,NaN,5,1,15,1,NaN,16,41,18,90,27,10,2,28,5,12,NaN,3,NaN,1,NaN,NaN,NaN,NaN,2,1,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,343,,Podbrezová vs Žilina,d5q0r2gr3hjaye71bd20ijrx0,2024-07-27
