team_name,contestantId,match_id,periodId,id,eventId,typeId,timeMin,timeSec,outcome,x,y,playerName,sequenceId,possessionId,keyPass,assist,label,date,140.0,141.0,318.0,321.0,322.0,210.0,212.0,213.0,223.0,224.0,225.0,22.0,23.0,5.0,6.0,9.0,19.0,24.0,25.0,26.0,28.0,107.0,44.0,292.0,293.0,sequence_duration,sequence_xG,receiverId,receiverName,match_state,clock_sec,set_piece_index,set_piece_type,set_piece_team,event_time
Crvena zvezda,81lpho34qr3dad0xzalq0abja,ifl0j89x9i0969dtpzanu5g4,1,2827973267,127,13,8,34,1,94.9,47.2,M. Veljković,27.0,17.0,NaN,NaN,Crvena zvezda vs Javor,2025-07-19,NaN,NaN,NaN,0.18339654803276062,0.0,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,nan,,NaN,true,NaN,,NaN,NaN,NaN,NaN,6.0,0.18339654803276062,,,Crvena zvezda,514,3,corner,,514
Crvena zvezda,81lpho34qr3dad0xzalq0abja,ifl0j89x9i0969dtpzanu5g4,1,2827976569,228,13,18,28,1,80.0,51.9,N. Tiknizyan,59.0,39.0,NaN,NaN,Crvena zvezda vs Javor,2025-07-19,NaN,NaN,NaN,0.04442950710654259,0.0,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,nan,,NaN,true,NaN,,NaN,NaN,NaN,NaN,0.0,0.04442950710654259,,,Crvena zvezda,1108,3,corner,,1108
Crvena zvezda,81lpho34qr3dad0xzalq0abja,ifl0j89x9i0969dtpzanu5g4,1,2827980281,371,13,31,50,1,97.0,52.1,C. Ndiaye,94.0,63.0,NaN,NaN,Crvena zvezda vs Javor,2025-07-19,NaN,NaN,NaN,0.604327380657196,0.0,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,nan,,true,NaN,NaN,,NaN,NaN,NaN,NaN,3.0,0.604327380657196,,,Crvena zvezda,1910,4,freekick,,1910
Javor,9pro2wcaugw41qn4s7o9my85,ifl0j89x9i0969dtpzanu5g4,1,2827984219,331,13,47,15,1,85.3,23.5,A. Radonjić,138.0,90.0,NaN,NaN,Crvena zvezda vs Javor,2025-07-19,NaN,NaN,NaN,0.016752563416957855,0.0,NaN,NaN,NaN,NaN,NaN,,true,,NaN,NaN,nan,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,9.0,0.016752563416957855,,,Crvena zvezda,2835,13,freekick,,2835
Crvena zvezda,81lpho34qr3dad0xzalq0abja,ifl0j89x9i0969dtpzanu5g4,2,2827989977,598,13,48,7,1,80.8,63.4,N. Tiknizyan,151.0,98.0,NaN,NaN,Crvena zvezda vs Javor,2025-07-19,NaN,NaN,NaN,0.018573250621557236,0.0,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,nan,,NaN,true,NaN,,NaN,NaN,NaN,NaN,0.0,0.018573250621557236,,,Crvena zvezda,2887,4,corner,,2887
Crvena zvezda,81lpho34qr3dad0xzalq0abja,ifl0j89x9i0969dtpzanu5g4,2,2827996683,720,13,62,15,1,72.3,48.7,Seol Young-Woo,190.0,120.0,NaN,NaN,Crvena zvezda vs Javor,2025-07-19,NaN,NaN,NaN,0.009276865981519222,0.0,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,nan,,NaN,true,NaN,,NaN,NaN,NaN,NaN,8.0,0.009276865981519222,,,Crvena zvezda,3735,4,corner,,3735
Crvena zvezda,81lpho34qr3dad0xzalq0abja,ifl0j89x9i0969dtpzanu5g4,2,2827997645,738,13,64,6,1,81.6,49.9,N. Tiknizyan,194.0,122.0,NaN,NaN,Crvena zvezda vs Javor,2025-07-19,NaN,NaN,NaN,0.04667196422815323,0.0,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,nan,,NaN,true,NaN,,NaN,NaN,NaN,NaN,0.0,0.04667196422815323,,,Crvena zvezda,3846,5,corner,,3846
Javor,9pro2wcaugw41qn4s7o9my85,ifl0j89x9i0969dtpzanu5g4,2,2827998139,474,15,65,0,1,76.9,47.4,O. Krsmanović,196.0,123.0,NaN,NaN,Crvena zvezda vs Javor,2025-07-19,NaN,NaN,NaN,0.04802532494068146,0.1453481912612915,NaN,NaN,NaN,NaN,NaN,,true,,NaN,NaN,nan,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,3.0,0.04802532494068146,,,Crvena zvezda,3900,5,freekick,,3900
Crvena zvezda,81lpho34qr3dad0xzalq0abja,ifl0j89x9i0969dtpzanu5g4,2,2827999929,786,13,69,17,1,91.4,36.8,P. Olayinka,211.0,132.0,NaN,NaN,Crvena zvezda vs Javor,2025-07-19,NaN,NaN,NaN,0.04619899392127991,0.0,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,nan,,NaN,true,NaN,,NaN,NaN,NaN,NaN,0.0,0.04619899392127991,,,Crvena zvezda,4157,7,corner,,4157
Crvena zvezda,81lpho34qr3dad0xzalq0abja,ifl0j89x9i0969dtpzanu5g4,2,2828009643,976,15,88,35,1,76.8,65.8,J. Šljivić,258.0,166.0,NaN,NaN,Crvena zvezda vs Javor,2025-07-19,NaN,NaN,NaN,0.05826427787542343,0.0,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,nan,,NaN,NaN,true,,NaN,NaN,NaN,NaN,0.0,0.05826427787542343,,,Crvena zvezda,5315,1,freekick_shot,81lpho34qr3dad0xzalq0abja,5315
Crvena zvezda,81lpho34qr3dad0xzalq0abja,ifl0j89x9i0969dtpzanu5g4,2,2828009669,977,13,88,36,1,76.6,50.1,T. Elšnik,259.0,166.0,NaN,NaN,Crvena zvezda vs Javor,2025-07-19,NaN,NaN,NaN,0.021724561229348183,0.0,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,nan,,true,NaN,NaN,,NaN,NaN,NaN,NaN,0.0,0.021724561229348183,,,Crvena zvezda,5316,2,freekick_shot,,5316
Čukarički,c7o9hpr4axv7govpi4s5ohbnd,l1fecaztvx88tl65q1keao0k,1,2827977221,174,15,21,9,1,70.3,58.1,A. Stojanović,59.0,33.0,NaN,NaN,Čukarički vs Napredak,2025-07-19,NaN,NaN,NaN,0.015897512435913086,0.0,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,none,,NaN,true,,,NaN,NaN,NaN,NaN,0.0,0.015897512435913086,,,draw,1269,7,corner,,1269
Napredak,748d7hfcaxop9lx2mai8lnmn9,l1fecaztvx88tl65q1keao0k,1,2827978037,153,15,23,33,1,85.2,40.3,V. Miletić,67.0,38.0,NaN,NaN,Čukarički vs Napredak,2025-07-19,NaN,NaN,NaN,0.05281583592295647,0.0,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,none,,true,NaN,,,NaN,NaN,NaN,NaN,0.0,0.05281583592295647,,,draw,1413,4,freekick,,1413
Napredak,748d7hfcaxop9lx2mai8lnmn9,l1fecaztvx88tl65q1keao0k,1,2827978043,154,13,23,35,1,76.2,48.3,N. Bogdanovski,68.0,38.0,NaN,NaN,Čukarički vs Napredak,2025-07-19,NaN,NaN,NaN,0.027368465438485146,0.0,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,none,,true,NaN,,,NaN,NaN,NaN,NaN,0.0,0.027368465438485146,,,draw,1415,6,freekick,,1415
Napredak,748d7hfcaxop9lx2mai8lnmn9,l1fecaztvx88tl65q1keao0k,2,2827996071,402,13,59,10,1,92.6,45.6,N. Đeković,182.0,119.0,NaN,NaN,Čukarički vs Napredak,2025-07-19,NaN,NaN,NaN,0.10759155452251434,0.0,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,none,,NaN,true,,,NaN,NaN,NaN,NaN,1.0,0.10759155452251434,,,draw,3550,2,corner,,3550
Napredak,748d7hfcaxop9lx2mai8lnmn9,l1fecaztvx88tl65q1keao0k,2,2828006785,488,13,80,50,1,85.5,57.9,N. Marinković,227.0,147.0,NaN,NaN,Čukarički vs Napredak,2025-07-19,NaN,NaN,NaN,0.04149528965353966,0.0,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,none,,true,NaN,,,NaN,NaN,NaN,NaN,0.0,0.04149528965353966,,,Čukarički,4850,7,freekick,,4850
Napredak,748d7hfcaxop9lx2mai8lnmn9,l1fecaztvx88tl65q1keao0k,2,2828010745,547,13,90,7,1,91.2,52.3,S. Bukorac,253.0,163.0,NaN,NaN,Čukarički vs Napredak,2025-07-19,NaN,NaN,NaN,0.12570533156394958,0.0,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,none,,true,NaN,,,NaN,NaN,NaN,NaN,4.0,0.12570533156394958,,,Čukarički,5407,3,freekick,,5407
Mladost Lučani,16agx0zka9x8hdd5t3xyn1goq,kjglp547oyr12fj32mqhq238,1,2828386589,12,13,1,37,1,74.5,53.1,D. Pantić,6.0,2.0,NaN,NaN,Mladost Lučani vs IMT Novi Beograd,2025-07-20,NaN,NaN,NaN,0.0698702409863472,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,nan,,NaN,NaN,true,,NaN,NaN,NaN,NaN,0.0,0.0698702409863472,,,draw,97,1,freekick_shot,16agx0zka9x8hdd5t3xyn1goq,97
Mladost Lučani,16agx0zka9x8hdd5t3xyn1goq,kjglp547oyr12fj32mqhq238,2,2828421539,411,13,49,43,1,92.1,61.1,D. Cvetinović,154.0,96.0,NaN,NaN,Mladost Lučani vs IMT Novi Beograd,2025-07-20,NaN,NaN,NaN,0.016699839383363724,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,nan,,NaN,true,NaN,,NaN,NaN,NaN,NaN,7.0,0.016699839383363724,,,draw,2983,4,corner,,2983
IMT Novi Beograd,bxdyd1x6lw23oh0k6ydzbvmis,kjglp547oyr12fj32mqhq238,2,2828432137,622,15,64,0,1,83.1,30.9,N. Krstić,200.0,117.0,NaN,NaN,Mladost Lučani vs IMT Novi Beograd,2025-07-20,NaN,NaN,NaN,0.02959209866821766,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,nan,,NaN,true,NaN,,NaN,NaN,NaN,NaN,0.0,0.02959209866821766,,,draw,3840,4,corner,,3840
Mladost Lučani,16agx0zka9x8hdd5t3xyn1goq,kjglp547oyr12fj32mqhq238,2,2828453371,775,15,94,35,1,70.7,51.9,I. Hadžić,287.0,176.0,NaN,NaN,Mladost Lučani vs IMT Novi Beograd,2025-07-20,NaN,NaN,NaN,0.012237338349223137,0.0,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,nan,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,0.0,0.012237338349223137,,,draw,5675,3,freekick,,5675
TSC,ee85k7vpo1yzn2ecre71ebydx,k1dhp52qnkrxia3dqn7qwb2s,1,2828396457,213,13,23,33,1,85.9,64.6,S. Singh,82.0,54.0,NaN,NaN,TSC vs Radnički Niš,2025-07-20,NaN,NaN,NaN,0.05161520466208458,0.0,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,none,,NaN,true,NaN,,NaN,NaN,NaN,NaN,5.0,0.05161520466208458,,,Radnički Niš,1413,4,corner,,1413
Radnički Niš,7p4uh0u9hdw8yf80y786lh1sa,k1dhp52qnkrxia3dqn7qwb2s,1,2828398523,227,15,28,9,1,89.3,10.1,V. Ilić,99.0,67.0,NaN,NaN,TSC vs Radnički Niš,2025-07-20,NaN,NaN,NaN,0.03640535846352577,0.10241162776947021,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,none,,NaN,NaN,true,,NaN,NaN,NaN,NaN,0.0,0.03640535846352577,,,Radnički Niš,1689,1,freekick_shot,7p4uh0u9hdw8yf80y786lh1sa,1689
Radnički Niš,7p4uh0u9hdw8yf80y786lh1sa,k1dhp52qnkrxia3dqn7qwb2s,1,2828398783,230,13,28,34,1,95.1,57.7,M. Petković,100.0,67.0,NaN,NaN,TSC vs Radnički Niš,2025-07-20,NaN,NaN,NaN,0.07633494585752487,0.0,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,none,,NaN,true,NaN,,NaN,NaN,NaN,NaN,1.0,0.07633494585752487,,,Radnički Niš,1714,2,corner,,1714
TSC,ee85k7vpo1yzn2ecre71ebydx,k1dhp52qnkrxia3dqn7qwb2s,1,2828406277,398,15,43,27,1,70.9,36.0,S. Singh,145.0,94.0,NaN,NaN,TSC vs Radnički Niš,2025-07-20,NaN,NaN,NaN,0.0198681503534317,0.0,NaN,NaN,NaN,NaN,NaN,,true,NaN,NaN,NaN,none,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,5.0,0.0198681503534317,,,Radnički Niš,2607,5,freekick,,2607
TSC,ee85k7vpo1yzn2ecre71ebydx,k1dhp52qnkrxia3dqn7qwb2s,1,2828408931,453,16,48,1,1,93.4,44.6,M. Degenek,159.0,100.0,NaN,NaN,TSC vs Radnički Niš,2025-07-20,NaN,NaN,NaN,0.09355311840772629,0.3359513282775879,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,none,,NaN,true,NaN,,NaN,NaN,NaN,NaN,3.0,0.09355311840772629,,,draw,2881,4,corner,,2881
TSC,ee85k7vpo1yzn2ecre71ebydx,k1dhp52qnkrxia3dqn7qwb2s,2,2828423493,557,15,56,27,1,91.4,68.5,Saša Jovanović,199.0,131.0,NaN,NaN,TSC vs Radnički Niš,2025-07-20,NaN,NaN,NaN,0.047860436141490936,0.12601225078105927,NaN,NaN,NaN,NaN,NaN,,true,NaN,NaN,NaN,none,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,5.0,0.047860436141490936,,,TSC,3387,7,freekick,,3387
Radnički Niš,7p4uh0u9hdw8yf80y786lh1sa,k1dhp52qnkrxia3dqn7qwb2s,2,2828438185,632,15,76,36,1,73.2,52.8,U. Vitas,264.0,176.0,NaN,NaN,TSC vs Radnički Niš,2025-07-20,NaN,NaN,NaN,0.04803859069943428,0.10736577212810516,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,none,,NaN,NaN,true,,NaN,NaN,NaN,NaN,0.0,0.04803859069943428,,,TSC,4596,1,freekick_shot,7p4uh0u9hdw8yf80y786lh1sa,4596
TSC,ee85k7vpo1yzn2ecre71ebydx,k1dhp52qnkrxia3dqn7qwb2s,2,2828446709,769,13,88,5,1,81.5,58.4,A. Todoroski,292.0,193.0,NaN,NaN,TSC vs Radnički Niš,2025-07-20,NaN,NaN,NaN,0.05541083216667175,0.0,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,none,,true,NaN,NaN,,NaN,NaN,NaN,NaN,1.0,0.05541083216667175,,,TSC,5285,2,freekick,,5285
Vojvodina,5dogxolrtabaz69epd35liubg,jjc2c4dxlpp9retzpzegbnys,1,2828395215,198,13,18,30,1,87.7,47.0,A. Vukanović,64.0,37.0,NaN,NaN,Vojvodina vs Radnik Surdulica,2025-07-20,NaN,NaN,NaN,0.03320439159870148,0.0,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,none,NaN,,,,,NaN,NaN,NaN,NaN,5.0,0.03320439159870148,,,Vojvodina,1110,6,throw_in,,1110
Železničar Pančevo,69yj0igv40jefp5ezs23ohmnd,m2tpvi7v0xdg9zwsegax76l0,1,2828390947,95,15,9,56,1,93.9,66.0,J. Milosavljević,32.0,18.0,NaN,NaN,Železničar Pančevo vs Partizan,2025-07-20,NaN,NaN,NaN,0.019817542284727097,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,none,,,true,,,NaN,NaN,NaN,NaN,0.0,0.019817542284727097,,,draw,596,6,corner,,596
Partizan,c0d1qca7kz0fi0ypx7aw4nusc,m2tpvi7v0xdg9zwsegax76l0,1,2828393317,146,15,14,45,1,86.2,58.9,M. Jurčević,42.0,23.0,NaN,NaN,Železničar Pančevo vs Partizan,2025-07-20,NaN,NaN,NaN,0.0830930545926094,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,none,,,true,,,NaN,NaN,NaN,NaN,2.0,0.0830930545926094,,,draw,885,4,corner,,885
Partizan,c0d1qca7kz0fi0ypx7aw4nusc,m2tpvi7v0xdg9zwsegax76l0,1,2828402617,374,15,32,35,1,93.4,55.6,J. Milošević,98.0,59.0,1.0,NaN,Železničar Pančevo vs Partizan,2025-07-20,NaN,NaN,NaN,0.12632767856121063,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,none,,,true,,,NaN,NaN,NaN,NaN,1.0,0.12632767856121063,,,draw,1955,2,corner,,1955
Partizan,c0d1qca7kz0fi0ypx7aw4nusc,m2tpvi7v0xdg9zwsegax76l0,1,2828820497,953,15,32,38,1,96.7,52.8,V. Đurđević,99.0,59.0,NaN,NaN,Železničar Pančevo vs Partizan,2025-07-20,NaN,NaN,NaN,0.3403635323047638,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,none,,,true,,,NaN,NaN,NaN,NaN,0.0,0.3403635323047638,,,draw,1958,6,corner,,1958
Partizan,c0d1qca7kz0fi0ypx7aw4nusc,m2tpvi7v0xdg9zwsegax76l0,2,2828423839,617,13,56,36,1,80.3,38.0,A. Kalulu,173.0,107.0,NaN,NaN,Železničar Pančevo vs Partizan,2025-07-20,NaN,NaN,NaN,0.028423389419913292,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,none,,,true,,,NaN,NaN,NaN,NaN,0.0,0.028423389419913292,,,draw,3396,6,corner,,3396
Železničar Pančevo,69yj0igv40jefp5ezs23ohmnd,m2tpvi7v0xdg9zwsegax76l0,2,2828441603,502,13,80,42,1,79.7,67.5,H. Ivanov,214.0,134.0,NaN,NaN,Železničar Pančevo vs Partizan,2025-07-20,NaN,NaN,NaN,0.020134206861257553,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,none,,,true,,,NaN,NaN,NaN,NaN,1.0,0.020134206861257553,,,draw,4842,2,corner,,4842
Železničar Pančevo,69yj0igv40jefp5ezs23ohmnd,m2tpvi7v0xdg9zwsegax76l0,2,2828448989,587,13,91,1,1,95.1,42.8,A. Yusif,251.0,162.0,NaN,NaN,Železničar Pančevo vs Partizan,2025-07-20,NaN,NaN,NaN,0.11848016828298569,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,none,,,true,,,NaN,NaN,NaN,NaN,1.0,0.11848016828298569,,,draw,5461,2,corner,,5461
Partizan,c0d1qca7kz0fi0ypx7aw4nusc,m2tpvi7v0xdg9zwsegax76l0,2,2828450959,886,13,93,52,1,92.7,39.3,V. Dragojević,260.0,167.0,NaN,NaN,Železničar Pančevo vs Partizan,2025-07-20,NaN,NaN,NaN,0.021031195297837257,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,none,,,true,,,NaN,NaN,NaN,NaN,1.0,0.021031195297837257,,,draw,5632,3,corner,,5632
Železničar Pančevo,69yj0igv40jefp5ezs23ohmnd,m2tpvi7v0xdg9zwsegax76l0,2,2828453247,643,15,98,16,1,93.0,50.9,N. Vidojević,273.0,174.0,NaN,NaN,Železničar Pančevo vs Partizan,2025-07-20,NaN,NaN,NaN,0.1074238270521164,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,none,,,true,,,NaN,NaN,NaN,NaN,3.0,0.1074238270521164,,,Partizan,5896,4,corner,,5896
OFK Beograd,7kto5aea8tybeo2qmspftn1nz,j1a2yzbiindev7dk3uejle6s,1,2828601063,11,15,1,15,1,92.4,63.8,M. Pantović,4.0,2.0,NaN,NaN,OFK Beograd vs Spartak Subotica,2025-07-21,NaN,NaN,NaN,0.0862153023481369,0.17860659956932068,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,nan,,NaN,true,NaN,,NaN,NaN,NaN,NaN,4.0,0.0862153023481369,,,draw,75,6,corner,,75
Spartak Subotica,e8wfdw7ttr59p4afuqctv3nad,j1a2yzbiindev7dk3uejle6s,1,2834713475,767,13,17,15,1,93.6,50.7,L. Subotić,53.0,27.0,1.0,NaN,OFK Beograd vs Spartak Subotica,2025-07-21,NaN,NaN,NaN,0.0994,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,nan,,NaN,true,NaN,,NaN,NaN,NaN,NaN,2.0,0.0994,,,draw,1035,2,corner,,1035
Spartak Subotica,e8wfdw7ttr59p4afuqctv3nad,j1a2yzbiindev7dk3uejle6s,1,2828603279,137,13,17,16,1,93.9,43.6,Kayque,54.0,27.0,NaN,NaN,OFK Beograd vs Spartak Subotica,2025-07-21,NaN,NaN,NaN,0.10229713469743729,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,nan,,NaN,true,NaN,,NaN,NaN,NaN,NaN,0.0,0.10229713469743729,,,draw,1036,3,corner,,1036
Spartak Subotica,e8wfdw7ttr59p4afuqctv3nad,j1a2yzbiindev7dk3uejle6s,1,2828604935,203,15,26,52,1,72.9,71.6,S. Tomović,75.0,39.0,NaN,NaN,OFK Beograd vs Spartak Subotica,2025-07-21,NaN,NaN,NaN,0.030985673889517784,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,nan,,NaN,NaN,true,,NaN,NaN,NaN,NaN,0.0,0.030985673889517784,,,draw,1612,1,freekick_shot,e8wfdw7ttr59p4afuqctv3nad,1612
OFK Beograd,7kto5aea8tybeo2qmspftn1nz,j1a2yzbiindev7dk3uejle6s,1,2828606081,319,13,33,49,1,89.8,64.2,A. Cvetković,90.0,46.0,1.0,NaN,OFK Beograd vs Spartak Subotica,2025-07-21,NaN,NaN,NaN,0.0478142686188221,0.0,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,nan,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,8.0,0.0478142686188221,,,draw,2029,4,throw_in,,2029
OFK Beograd,7kto5aea8tybeo2qmspftn1nz,j1a2yzbiindev7dk3uejle6s,1,2828606083,320,13,33,50,1,93.4,48.5,N. Mituljikić,91.0,46.0,NaN,NaN,OFK Beograd vs Spartak Subotica,2025-07-21,NaN,NaN,NaN,0.37589365243911743,0.0,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,nan,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,0.0,0.37589365243911743,,,draw,2030,5,throw_in,,2030
OFK Beograd,7kto5aea8tybeo2qmspftn1nz,j1a2yzbiindev7dk3uejle6s,1,2828607255,370,14,40,59,1,75.0,69.9,Diogo Bezerra,103.0,52.0,NaN,NaN,OFK Beograd vs Spartak Subotica,2025-07-21,NaN,NaN,NaN,0.04110841453075409,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,nan,,NaN,NaN,true,,NaN,NaN,NaN,NaN,0.0,0.04110841453075409,,,draw,2459,1,freekick_shot,7kto5aea8tybeo2qmspftn1nz,2459
Spartak Subotica,e8wfdw7ttr59p4afuqctv3nad,j1a2yzbiindev7dk3uejle6s,2,2828613519,455,15,55,22,1,90.3,62.0,K. Osei,159.0,84.0,NaN,NaN,OFK Beograd vs Spartak Subotica,2025-07-21,NaN,NaN,NaN,0.37745070457458496,0.32582467794418335,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,nan,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,0.0,0.37745070457458496,,,draw,3322,4,freekick,,3322
Spartak Subotica,e8wfdw7ttr59p4afuqctv3nad,j1a2yzbiindev7dk3uejle6s,2,2828615195,512,13,65,15,1,86.4,30.9,K. Osei,184.0,100.0,NaN,NaN,OFK Beograd vs Spartak Subotica,2025-07-21,NaN,NaN,NaN,0.05348610877990723,0.0,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,nan,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,5.0,0.05348610877990723,,,draw,3915,4,throw_in,,3915
OFK Beograd,7kto5aea8tybeo2qmspftn1nz,j1a2yzbiindev7dk3uejle6s,2,2828617421,695,15,77,31,1,83.6,82.0,Diogo Bezerra,221.0,125.0,NaN,NaN,OFK Beograd vs Spartak Subotica,2025-07-21,NaN,NaN,NaN,0.040879540145397186,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,nan,,NaN,NaN,true,,NaN,NaN,NaN,NaN,0.0,0.040879540145397186,,,Spartak Subotica,4651,1,freekick_shot,7kto5aea8tybeo2qmspftn1nz,4651
OFK Beograd,7kto5aea8tybeo2qmspftn1nz,j1a2yzbiindev7dk3uejle6s,2,2828620085,828,15,92,9,1,91.4,48.7,A. Đermanović,269.0,155.0,NaN,NaN,OFK Beograd vs Spartak Subotica,2025-07-21,NaN,NaN,NaN,0.07517373561859131,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,nan,,true,NaN,NaN,,NaN,NaN,NaN,NaN,2.0,0.07517373561859131,,,Spartak Subotica,5529,4,freekick,,5529
OFK Beograd,7kto5aea8tybeo2qmspftn1nz,pflm9b7tmcj72xqqs187zdhw,2,2829554849,400,13,46,39,1,75.3,23.9,U. Lazić,144.0,93.0,NaN,NaN,Crvena zvezda vs OFK Beograd,2025-07-26,NaN,NaN,NaN,0.012948727235198021,0.0,NaN,NaN,NaN,NaN,NaN,,true,NaN,NaN,NaN,nan,,,NaN,,,NaN,NaN,NaN,NaN,3.0,0.012948727235198021,,,Crvena zvezda,2799,10,throw_in,,2799
Crvena zvezda,81lpho34qr3dad0xzalq0abja,pflm9b7tmcj72xqqs187zdhw,1,2829546129,461,13,49,15,1,91.8,48.9,S. Leković,134.0,87.0,NaN,NaN,Crvena zvezda vs OFK Beograd,2025-07-26,NaN,NaN,NaN,0.07740730047225952,0.0,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,nan,,,true,,,NaN,NaN,NaN,NaN,0.0,0.07740730047225952,,,Crvena zvezda,2955,6,corner,,2955
Crvena zvezda,81lpho34qr3dad0xzalq0abja,pflm9b7tmcj72xqqs187zdhw,2,2829562913,600,13,49,55,1,95.1,54.2,Bruno Duarte,150.0,98.0,NaN,NaN,Crvena zvezda vs OFK Beograd,2025-07-26,NaN,NaN,NaN,0.1635770946741104,0.0,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,nan,,,true,,,NaN,NaN,NaN,NaN,5.0,0.1635770946741104,,,Crvena zvezda,2995,6,corner,,2995
Crvena zvezda,81lpho34qr3dad0xzalq0abja,pflm9b7tmcj72xqqs187zdhw,2,2829563057,603,13,62,57,1,96.2,34.4,A. Katai,181.0,120.0,NaN,NaN,Crvena zvezda vs OFK Beograd,2025-07-26,NaN,NaN,NaN,0.01726788468658924,0.0,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,nan,,,true,,,NaN,NaN,NaN,NaN,4.0,0.01726788468658924,,,Crvena zvezda,3777,5,corner,,3777
Crvena zvezda,81lpho34qr3dad0xzalq0abja,pflm9b7tmcj72xqqs187zdhw,2,2829567363,674,15,72,45,1,81.5,36.5,Seol Young-Woo,204.0,136.0,NaN,NaN,Crvena zvezda vs OFK Beograd,2025-07-26,NaN,NaN,NaN,0.04849629104137421,0.1438293755054474,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,nan,,,NaN,,,NaN,NaN,NaN,NaN,6.0,0.04849629104137421,,,Crvena zvezda,4365,5,throw_in,,4365
