playerName,team_name,label,date,possessionValue.pvValue,possessionValue.pvAdded
A. Abdallah,Guingamp,Guingamp vs Le Mans,2025-08-09,0.1857443,0.0645474
A. Abdallah,Guingamp,Guingamp vs Red Star,2025-08-23,0.1221122,0.010174899999999999
A. Abdallah,Guingamp,Reims vs Guingamp,2025-08-16,0.387287,0.11969349999999998
A. Aiki,Bastia,Le Mans vs Bastia,2025-08-22,0.0,0.0
A. Appiah,Amiens SC,Amiens SC vs Annecy,2025-08-22,0.3243476,-0.0808038
A. Appiah,Amiens SC,Amiens SC vs Reims,2025-08-11,0.1551455,-0.021339400000000005
A. Appiah,Amiens SC,Red Star vs Amiens SC,2025-08-15,0.388573,0.1105496
A. Boakye,Saint-Étienne,Boulogne vs Saint-Étienne,2025-08-23,0.28037080000000003,0.023779099999999997
A. Boakye,Saint-Étienne,Laval vs Saint-Étienne,2025-08-09,0.8260033,0.2918366
A. Boakye,Saint-Étienne,Saint-Étienne vs Rodez,2025-08-16,0.6205274000000001,0.2662662
A. Bobichon,Pau,Bastia vs Pau,2025-08-15,0.3014605,-0.012591600000000005
A. Bobichon,Pau,Pau vs Annecy,2025-08-09,0.2256312,-0.024633199999999997
A. Bojang,Reims,Amiens SC vs Reims,2025-08-11,0.3228344,-0.0338923
A. Bojang,Reims,Reims vs Guingamp,2025-08-16,0.9729755,0.49256099999999997
A. Boutrah,Bastia,Bastia vs Pau,2025-08-15,0.721579,0.2871604
A. Boutrah,Bastia,Le Mans vs Bastia,2025-08-22,0.2689588,-0.12360349999999999
A. Briançon,Pau,Bastia vs Pau,2025-08-15,0.21162620000000001,0.0259875
A. Briançon,Pau,Pau vs Annecy,2025-08-09,0.1573737,0.0920469
A. Chabane,Amiens SC,Amiens SC vs Annecy,2025-08-22,0.22662000000000002,0.014196699999999994
A. Chabane,Amiens SC,Amiens SC vs Reims,2025-08-11,0.14995920000000001,0.0774547
A. Chabane,Amiens SC,Red Star vs Amiens SC,2025-08-15,0.3451609,0.1508009
A. Chibozo,Amiens SC,Amiens SC vs Reims,2025-08-11,0.0011995,0.0006932
A. Dabasse,Nancy,Rodez vs Nancy,2025-08-09,0.0191798,-0.0093245
A. Daho,Dunkerque,Annecy vs Dunkerque,2025-08-16,0.0446266,-0.0747001
A. Daho,Dunkerque,Dunkerque vs Nancy,2025-08-22,0.08096600000000001,-0.0631681
A. Demouchy,Guingamp,Guingamp vs Le Mans,2025-08-09,0.1929325,0.1038156
A. Demouchy,Guingamp,Guingamp vs Red Star,2025-08-23,0.1145574,0.0460787
A. Demouchy,Guingamp,Reims vs Guingamp,2025-08-16,0.3335129,0.2144693
A. Diakité,Troyes,Troyes vs Montpellier,2025-08-23,0.0261544,-0.058684700000000006
A. El Farissi,Boulogne,Boulogne vs Saint-Étienne,2025-08-23,0.1507662,-0.0368017
A. El Farissi,Boulogne,Nancy vs Boulogne,2025-08-15,0.17448429999999998,0.002084200000000003
A. Faurand-Tournaire,Laval,Grenoble vs Laval,2025-08-15,0.0075231,0.0002922
A. Faurand-Tournaire,Laval,Laval vs Saint-Étienne,2025-08-09,0.0093677,0.0001842
A. Faurand-Tournaire,Laval,Rodez vs Laval,2025-08-22,0.0051018999999999995,-0.0011897000000000001
A. Georgen,Dunkerque,Dunkerque vs Nancy,2025-08-22,0.5318789,0.30213809999999997
A. Hachem,Red Star,Guingamp vs Red Star,2025-08-23,0.0087209,-0.006274200000000001
A. Hachem,Red Star,Montpellier vs Red Star,2025-08-09,0.1464751,0.057392399999999996
A. Hachem,Red Star,Red Star vs Amiens SC,2025-08-15,0.023990499999999998,-0.008039999999999999
A. Hbouch,Annecy,Amiens SC vs Annecy,2025-08-22,0.8607349,0.3560122
A. Hbouch,Annecy,Annecy vs Dunkerque,2025-08-16,0.48023710000000003,0.1080387
A. Hbouch,Annecy,Pau vs Annecy,2025-08-09,0.6192947999999999,0.22794930000000002
A. Hemia,Guingamp,Guingamp vs Le Mans,2025-08-09,0.5518493,0.17325790000000002
A. Hemia,Guingamp,Guingamp vs Red Star,2025-08-23,0.4719835,0.0033735000000000084
A. Hemia,Guingamp,Reims vs Guingamp,2025-08-16,0.2066197,-0.0563737
A. Hunou,Clermont,Clermont vs Grenoble,2025-08-22,0.0943055,-0.002721600000000001
A. Hunou,Clermont,Clermont vs Troyes,2025-08-15,0.1562507,-0.1177804
A. Hunou,Clermont,Dunkerque vs Clermont,2025-08-09,0.0858461,0.0030711999999999983
A. Julloux,Nancy,Dunkerque vs Nancy,2025-08-22,0.0483767,0.022195799999999998
A. Julloux,Nancy,Nancy vs Boulogne,2025-08-15,0.1335747,0.041439800000000006
A. Julloux,Nancy,Rodez vs Nancy,2025-08-09,0.1691988,-0.006821499999999998
A. Kanté,Dunkerque,Annecy vs Dunkerque,2025-08-16,0.1090896,0.08930959999999999
A. Kanté,Dunkerque,Dunkerque vs Nancy,2025-08-22,0.0397111,-0.0528488
A. Kashi,Annecy,Amiens SC vs Annecy,2025-08-22,0.2187543,0.0713722
A. Kashi,Annecy,Annecy vs Dunkerque,2025-08-16,0.20005799999999999,0.117389
A. Kashi,Annecy,Pau vs Annecy,2025-08-09,0.0752094,0.022673600000000002
A. Larose,Annecy,Annecy vs Dunkerque,2025-08-16,0.0145275,0.005587900000000001
A. Lauray,Le Mans,Le Mans vs Bastia,2025-08-22,0.3477465,0.019134500000000002
A. Lauray,Le Mans,Le Mans vs Montpellier,2025-08-18,0.3934052,0.0983342
A. Linguet,Dunkerque,Annecy vs Dunkerque,2025-08-16,0.1603559,0.036135799999999996
