player_matchName,player_playerId,contestantId,duelLost,aerialLost,player_position,player_positionSide,player_subPosition,successfulOpenPlayPass,totalContest,duelWon,penAreaEntries,accurateBackZonePass,possWonDef3rd,wonContest,accurateFwdZonePass,openPlayPass,totalBackZonePass,minsPlayed,fwdPass,finalThirdEntries,ballRecovery,totalFwdZonePass,successfulFinalThirdPasses,totalFinalThirdPasses,attAssistOpenplay,aerialWon,totalAttAssist,possWonMid3rd,interception,totalCrossNocorner,interceptionWon,attOpenplay,touchesInOppBox,attemptsIbox,totalThroughBall,possWonAtt3rd,accurateCrossNocorner,bigChanceCreated,accurateThroughBall,totalLayoffs,accurateLayoffs,totalFastbreak,shotFastbreak,formationUsed,goals,label,match_id,date
R. Leszczyński,ahlydarrer8r69iyawizwsel1,2672w7jn6onmk0lmpsp94eutg,NaN,NaN,Goalkeeper,Centre,NaN,14,NaN,NaN,2,12,2,NaN,3,20,13,90,17,6,11,9,1,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,4141,NaN,Śląsk Wrocław vs Lechia Gdańsk,3ic4vebbht7ifil3l65psy6ms,2024-07-19
S. Szota,aly5qelk8qvxdv9aqhbos6j56,2672w7jn6onmk0lmpsp94eutg,5,NaN,Defender,Left,NaN,40,1,4,NaN,22,2,NaN,18,48,25,76,25,9,3,24,10,13,NaN,2,NaN,1,NaN,1,NaN,NaN,2,1,NaN,NaN,NaN,NaN,,NaN,NaN,,,4141,NaN,Śląsk Wrocław vs Lechia Gdańsk,3ic4vebbht7ifil3l65psy6ms,2024-07-19
A. Petkov,avpmp2fdhwwqhxr7nhud76six,2672w7jn6onmk0lmpsp94eutg,1,NaN,Defender,Left/Centre,NaN,80,NaN,5,NaN,63,6,NaN,17,85,63,90,14,5,6,22,3,6,NaN,4,1,NaN,1,NaN,1,NaN,2,1,NaN,NaN,NaN,1,,NaN,NaN,,,4141,NaN,Śląsk Wrocław vs Lechia Gdańsk,3ic4vebbht7ifil3l65psy6ms,2024-07-19
S. Petrov,2hzghtvj5pxr5cpx0i8c5kpd6,2672w7jn6onmk0lmpsp94eutg,3,2,Defender,Centre/Right,NaN,77,1,2,NaN,53,2,NaN,26,78,53,90,22,5,5,27,5,5,1,2,1,3,2,NaN,2,NaN,4,4,NaN,NaN,NaN,NaN,,NaN,NaN,,,4141,NaN,Śląsk Wrocław vs Lechia Gdańsk,3ic4vebbht7ifil3l65psy6ms,2024-07-19
M. Żukowski,aeks1yjg9e1a07zdtor0yvluy,2672w7jn6onmk0lmpsp94eutg,4,NaN,Defender,Right,NaN,24,3,9,5,9,2,1,16,28,10,84,9,4,5,22,7,9,1,3,1,3,NaN,4,NaN,1,NaN,NaN,NaN,NaN,1,NaN,,NaN,NaN,,,4141,NaN,Śląsk Wrocław vs Lechia Gdańsk,3ic4vebbht7ifil3l65psy6ms,2024-07-19
P. Pokorný,9hkjwkdnvzeax9s0c4ghsqsfe,2672w7jn6onmk0lmpsp94eutg,3,NaN,Defensive Midfielder,Centre,NaN,42,4,4,2,10,2,3,32,48,11,90,18,11,8,37,16,18,1,NaN,1,6,1,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN,,2,2,,,4141,NaN,Śląsk Wrocław vs Lechia Gdańsk,3ic4vebbht7ifil3l65psy6ms,2024-07-19
Nahuel Leiva,a73ygj1fuda9a1z6p62hhc79x,2672w7jn6onmk0lmpsp94eutg,10,NaN,Midfielder,Left,NaN,32,9,4,6,4,NaN,2,30,42,6,90,16,6,3,42,23,29,1,1,2,3,NaN,2,NaN,1,2,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,4141,NaN,Śląsk Wrocław vs Lechia Gdańsk,3ic4vebbht7ifil3l65psy6ms,2024-07-19
P. Schwarz,5uzbt47eqvjv0lbawi9juf5qt,2672w7jn6onmk0lmpsp94eutg,7,1,Midfielder,Left/Centre,NaN,26,2,4,14,7,NaN,1,27,32,9,88,9,5,2,38,16,21,NaN,2,5,NaN,1,5,1,1,4,1,NaN,2,1,NaN,,2,2,,,4141,NaN,Śląsk Wrocław vs Lechia Gdańsk,3ic4vebbht7ifil3l65psy6ms,2024-07-19
J. Jezierski,f0exn7d80hbxxh0fv00hk1tzo,2672w7jn6onmk0lmpsp94eutg,6,1,Midfielder,Centre/Right,NaN,19,2,2,1,6,2,NaN,13,21,6,75,7,3,4,15,9,10,NaN,1,NaN,1,NaN,NaN,NaN,NaN,1,NaN,NaN,1,NaN,NaN,,1,1,,,4141,NaN,Śląsk Wrocław vs Lechia Gdańsk,3ic4vebbht7ifil3l65psy6ms,2024-07-19
P. Samiec-Talar,51a6has987q21o1ylqhh90n6y,2672w7jn6onmk0lmpsp94eutg,7,2,Midfielder,Right,NaN,19,1,2,4,6,NaN,1,14,23,7,84,6,1,4,22,5,7,NaN,NaN,NaN,2,NaN,5,NaN,2,8,4,1,2,NaN,NaN,,1,1,,,4141,NaN,Śląsk Wrocław vs Lechia Gdańsk,3ic4vebbht7ifil3l65psy6ms,2024-07-19
S. Musiolik,2o0rrfvhwvj8434k7wcpj1nmd,2672w7jn6onmk0lmpsp94eutg,2,2,Striker,Centre,NaN,7,NaN,8,1,1,NaN,NaN,7,12,1,90,5,3,NaN,13,7,10,1,6,1,NaN,NaN,1,NaN,1,6,2,1,NaN,NaN,NaN,,NaN,NaN,,,4141,NaN,Śląsk Wrocław vs Lechia Gdańsk,3ic4vebbht7ifil3l65psy6ms,2024-07-19
M. Bartolewski,c4cu18d039bf8979s4464mf6y,2672w7jn6onmk0lmpsp94eutg,NaN,NaN,Substitute,NaN,Defender,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,4141,NaN,Śląsk Wrocław vs Lechia Gdańsk,3ic4vebbht7ifil3l65psy6ms,2024-07-19
Ł. Gerstenstein,k9y3o0wq1upfd7qdvb1bcbv8,2672w7jn6onmk0lmpsp94eutg,2,NaN,Substitute,NaN,Defender,1,1,NaN,NaN,NaN,NaN,NaN,1,1,NaN,6,NaN,NaN,NaN,2,1,1,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,4141,NaN,Śląsk Wrocław vs Lechia Gdańsk,3ic4vebbht7ifil3l65psy6ms,2024-07-19
T. Guercio,6nsk4eocqoeq4xyoig7nvqu50,2672w7jn6onmk0lmpsp94eutg,1,NaN,Substitute,NaN,Defender,2,2,3,1,1,NaN,1,2,5,3,14,4,1,NaN,5,1,2,NaN,1,NaN,NaN,NaN,2,NaN,1,5,2,NaN,NaN,NaN,NaN,,NaN,NaN,,,4141,1,Śląsk Wrocław vs Lechia Gdańsk,3ic4vebbht7ifil3l65psy6ms,2024-07-19
T. Loska,f1230jg1ngxcmyo66lfv85cyd,2672w7jn6onmk0lmpsp94eutg,NaN,NaN,Substitute,NaN,Goalkeeper,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,4141,NaN,Śląsk Wrocław vs Lechia Gdańsk,3ic4vebbht7ifil3l65psy6ms,2024-07-19
Arnau Ortiz,5gyx7sfml246um8pft2afpsa2,2672w7jn6onmk0lmpsp94eutg,1,NaN,Substitute,NaN,Attacker,1,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,2,NaN,NaN,NaN,1,1,1,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,4141,NaN,Śląsk Wrocław vs Lechia Gdańsk,3ic4vebbht7ifil3l65psy6ms,2024-07-19
A. Paluszek,dp4gi7nvc6tqkjqr4korsbgx6,2672w7jn6onmk0lmpsp94eutg,NaN,NaN,Substitute,NaN,Defender,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,4141,NaN,Śląsk Wrocław vs Lechia Gdańsk,3ic4vebbht7ifil3l65psy6ms,2024-07-19
F. Rejczyk,810ngks5osj9ne4mzmj40stuc,2672w7jn6onmk0lmpsp94eutg,2,1,Substitute,NaN,Midfielder,11,NaN,2,1,2,NaN,NaN,10,11,2,15,2,1,4,10,6,6,1,NaN,1,3,NaN,1,NaN,NaN,NaN,NaN,NaN,1,1,1,,1,1,,,4141,NaN,Śląsk Wrocław vs Lechia Gdańsk,3ic4vebbht7ifil3l65psy6ms,2024-07-19
B. İnce,9fmsuan0jb0yu4z68at97tmju,2672w7jn6onmk0lmpsp94eutg,NaN,NaN,Substitute,NaN,Midfielder,5,1,1,2,NaN,NaN,1,6,7,NaN,6,2,NaN,NaN,8,3,5,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,1,NaN,,,4141,NaN,Śląsk Wrocław vs Lechia Gdańsk,3ic4vebbht7ifil3l65psy6ms,2024-07-19
B. Sarnavskyi,67v5iw75ptwgtdkhrs4c0gslx,13tihpiruaaa1xreofk5ovk43,NaN,NaN,Goalkeeper,Centre,NaN,5,NaN,1,1,10,1,NaN,4,10,12,90,18,2,4,15,1,2,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,4141,NaN,Śląsk Wrocław vs Lechia Gdańsk,3ic4vebbht7ifil3l65psy6ms,2024-07-19
M. Kałahur,4tt3t96bhxgmkwp5kxl1w3bhl,13tihpiruaaa1xreofk5ovk43,2,NaN,Defender,Left,NaN,19,2,5,NaN,13,5,1,6,26,16,90,18,5,9,11,3,6,NaN,1,NaN,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,4141,NaN,Śląsk Wrocław vs Lechia Gdańsk,3ic4vebbht7ifil3l65psy6ms,2024-07-19
E. Olsson,28237r26dj8uck2dsnecsrlnu,13tihpiruaaa1xreofk5ovk43,5,4,Defender,Left/Centre,NaN,29,NaN,3,3,26,NaN,NaN,5,36,29,90,12,7,NaN,10,2,7,NaN,1,NaN,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,4141,NaN,Śląsk Wrocław vs Lechia Gdańsk,3ic4vebbht7ifil3l65psy6ms,2024-07-19
A. Chindriş,2eg6qkhemse8z3pie8e88klbd,13tihpiruaaa1xreofk5ovk43,1,1,Defender,Centre/Right,NaN,35,NaN,4,2,29,1,NaN,6,48,32,90,17,7,1,16,1,7,NaN,2,NaN,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,4141,NaN,Śląsk Wrocław vs Lechia Gdańsk,3ic4vebbht7ifil3l65psy6ms,2024-07-19
D. Piła,23uzsdbj4p7kllnd8ivwtn14a,13tihpiruaaa1xreofk5ovk43,9,4,Defender,Right,NaN,21,1,8,2,11,1,1,11,26,11,90,12,4,1,16,3,6,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,,1,1,,,4141,NaN,Śląsk Wrocław vs Lechia Gdańsk,3ic4vebbht7ifil3l65psy6ms,2024-07-19
I. Zhelizko,c9s96ezi64avkl9x1mh5ax17u,13tihpiruaaa1xreofk5ovk43,4,1,Defensive Midfielder,Centre,NaN,33,NaN,4,1,21,2,NaN,13,38,23,90,10,2,3,18,2,3,NaN,1,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,4141,NaN,Śląsk Wrocław vs Lechia Gdańsk,3ic4vebbht7ifil3l65psy6ms,2024-07-19
L. D'Arrigo,2kig0lwusomobls6p3am0l7qi,13tihpiruaaa1xreofk5ovk43,7,3,Midfielder,Left,NaN,14,2,9,NaN,6,2,1,8,16,7,77,5,1,3,9,3,4,NaN,1,NaN,1,NaN,NaN,NaN,1,1,1,NaN,NaN,NaN,NaN,,NaN,NaN,,,4141,NaN,Śląsk Wrocław vs Lechia Gdańsk,3ic4vebbht7ifil3l65psy6ms,2024-07-19
T. Neugebauer,98p3yzev7i6oown2j3rc9l1xw,13tihpiruaaa1xreofk5ovk43,4,1,Midfielder,Left/Centre,NaN,14,1,1,2,8,3,NaN,7,17,8,62,3,2,5,10,5,8,NaN,NaN,NaN,1,1,NaN,1,1,1,NaN,NaN,1,NaN,NaN,,NaN,NaN,,,4141,1,Śląsk Wrocław vs Lechia Gdańsk,3ic4vebbht7ifil3l65psy6ms,2024-07-19
R. Kapič,9s5oz0s4xrnzusdn88x267tux,13tihpiruaaa1xreofk5ovk43,4,1,Midfielder,Centre/Right,NaN,37,1,3,1,20,4,1,17,45,24,87,8,6,7,21,7,10,NaN,NaN,NaN,3,3,NaN,3,NaN,NaN,NaN,2,NaN,NaN,NaN,,1,1,,,4141,NaN,Śląsk Wrocław vs Lechia Gdańsk,3ic4vebbht7ifil3l65psy6ms,2024-07-19
C. Mena,30jld1fjxktovetfkcscze7vu,13tihpiruaaa1xreofk5ovk43,3,NaN,Midfielder,Right,NaN,17,NaN,8,1,9,5,NaN,8,22,11,87,8,2,7,11,4,7,NaN,NaN,NaN,2,2,NaN,2,NaN,2,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,4141,NaN,Śląsk Wrocław vs Lechia Gdańsk,3ic4vebbht7ifil3l65psy6ms,2024-07-19
K. Sezonienko,e4e00p1ladeid8rskau6m24q2,13tihpiruaaa1xreofk5ovk43,6,4,Striker,Centre,NaN,3,1,4,NaN,NaN,1,NaN,3,10,2,90,5,3,5,9,2,6,NaN,1,NaN,3,NaN,1,NaN,NaN,1,NaN,NaN,1,NaN,NaN,,1,NaN,,,4141,NaN,Śląsk Wrocław vs Lechia Gdańsk,3ic4vebbht7ifil3l65psy6ms,2024-07-19
M. Bajko,4dfr48u6dz90d8wnwcv19vnkk,13tihpiruaaa1xreofk5ovk43,NaN,NaN,Substitute,NaN,Defender,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,4141,NaN,Śląsk Wrocław vs Lechia Gdańsk,3ic4vebbht7ifil3l65psy6ms,2024-07-19
J. Biegański,2dyzgcyqbzedszwu1ft3t16y2,13tihpiruaaa1xreofk5ovk43,NaN,NaN,Substitute,NaN,Midfielder,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,4141,NaN,Śląsk Wrocław vs Lechia Gdańsk,3ic4vebbht7ifil3l65psy6ms,2024-07-19
Conrado,95wo7kp4z9ab6fz3rbkzqgqnd,13tihpiruaaa1xreofk5ovk43,NaN,NaN,Substitute,NaN,Defender,1,NaN,NaN,1,NaN,NaN,NaN,1,1,NaN,3,1,1,NaN,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,4141,NaN,Śląsk Wrocław vs Lechia Gdańsk,3ic4vebbht7ifil3l65psy6ms,2024-07-19
S. Buletsa,2bdw52yp8fp0crtax5msykpnt,13tihpiruaaa1xreofk5ovk43,2,NaN,Substitute,NaN,Midfielder,5,NaN,2,NaN,4,1,NaN,1,7,4,28,3,NaN,4,3,NaN,1,NaN,NaN,NaN,3,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,1,1,,,4141,NaN,Śląsk Wrocław vs Lechia Gdańsk,3ic4vebbht7ifil3l65psy6ms,2024-07-19
L. Guého,3vwboh2xwfgyxekaj5f1dukus,13tihpiruaaa1xreofk5ovk43,NaN,NaN,Substitute,NaN,Defender,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,4141,NaN,Śląsk Wrocław vs Lechia Gdańsk,3ic4vebbht7ifil3l65psy6ms,2024-07-19
A. Kardaś,d2lrus27c7il7i3hkd0c85ces,13tihpiruaaa1xreofk5ovk43,NaN,NaN,Substitute,NaN,Midfielder,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,4141,NaN,Śląsk Wrocław vs Lechia Gdańsk,3ic4vebbht7ifil3l65psy6ms,2024-07-19
B. Viunnyk,cg6v1bdhgjh5gixy1lckrdqi2,13tihpiruaaa1xreofk5ovk43,3,3,Substitute,NaN,Attacker,2,NaN,2,NaN,1,1,NaN,2,4,2,13,3,NaN,2,3,1,2,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,4141,NaN,Śląsk Wrocław vs Lechia Gdańsk,3ic4vebbht7ifil3l65psy6ms,2024-07-19
S. Weirauch,58xv0jpx9xac60sr5rd4va1p0,13tihpiruaaa1xreofk5ovk43,NaN,NaN,Substitute,NaN,Goalkeeper,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,4141,NaN,Śląsk Wrocław vs Lechia Gdańsk,3ic4vebbht7ifil3l65psy6ms,2024-07-19
K. Wendt,cq1rqxck69nn6nyssfo56aln8,13tihpiruaaa1xreofk5ovk43,NaN,NaN,Substitute,NaN,Midfielder,1,NaN,NaN,NaN,1,1,NaN,NaN,1,1,3,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,4141,NaN,Śląsk Wrocław vs Lechia Gdańsk,3ic4vebbht7ifil3l65psy6ms,2024-07-19
D. Kudła,anpadn4bxepct4hw6h76qe28l,e4282tj4jnq8h2to6sjr08jl,NaN,NaN,Goalkeeper,Centre,NaN,5,NaN,NaN,NaN,13,1,NaN,1,5,14,90,8,1,4,4,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,343,NaN,GKS Katowice vs Radomiak Radom,3exxgrwhhc54jow8nbubjjvo4,2024-07-20
A. Komor,99iq70h0f9w17xktqco1c7b9x,e4282tj4jnq8h2to6sjr08jl,6,5,Defender,Left/Centre,NaN,47,1,6,3,23,NaN,1,26,53,23,90,19,11,NaN,33,11,15,2,5,2,NaN,2,2,2,1,5,3,NaN,NaN,1,1,NaN,NaN,NaN,,,343,NaN,GKS Katowice vs Radomiak Radom,3exxgrwhhc54jow8nbubjjvo4,2024-07-20
A. Jędrych,bhkhtg8t4nguiqfkr5un61rrp,e4282tj4jnq8h2to6sjr08jl,7,4,Defender,Centre,NaN,38,NaN,3,3,33,1,NaN,7,42,33,90,8,5,1,11,2,5,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,343,NaN,GKS Katowice vs Radomiak Radom,3exxgrwhhc54jow8nbubjjvo4,2024-07-20
L. Klemenz,6mjhepo267xtrt1bqre1dsq8l,e4282tj4jnq8h2to6sjr08jl,3,2,Defender,Centre/Right,NaN,33,1,10,2,21,NaN,1,15,42,26,90,25,6,3,19,5,8,NaN,4,NaN,3,1,NaN,1,1,2,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,343,NaN,GKS Katowice vs Radomiak Radom,3exxgrwhhc54jow8nbubjjvo4,2024-07-20
G. Rogala,1z3geshn4wenhv4ykebzv51bd,e4282tj4jnq8h2to6sjr08jl,3,NaN,Midfielder,Left,NaN,24,1,2,3,7,NaN,1,18,26,7,90,6,4,3,22,7,9,NaN,NaN,NaN,3,2,3,2,NaN,2,1,1,NaN,1,NaN,NaN,NaN,NaN,,,343,NaN,GKS Katowice vs Radomiak Radom,3exxgrwhhc54jow8nbubjjvo4,2024-07-20
O. Repka,6b0o88v7qb1zv05cs2kewi1nt,e4282tj4jnq8h2to6sjr08jl,5,3,Midfielder,Left/Centre,NaN,25,NaN,1,NaN,12,1,NaN,13,30,14,72,12,4,1,16,7,8,1,1,1,NaN,1,NaN,1,1,2,1,NaN,NaN,NaN,NaN,NaN,2,2,,,343,NaN,GKS Katowice vs Radomiak Radom,3exxgrwhhc54jow8nbubjjvo4,2024-07-20
B. Baranowicz,5epn2w42npctbsab7hyzxs4fe,e4282tj4jnq8h2to6sjr08jl,NaN,NaN,Midfielder,Centre/Right,NaN,12,NaN,3,NaN,5,NaN,NaN,7,15,7,45,5,1,1,8,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,1,NaN,NaN,NaN,NaN,NaN,,,343,NaN,GKS Katowice vs Radomiak Radom,3exxgrwhhc54jow8nbubjjvo4,2024-07-20
M. Wasielewski,b8fc8pgvumh4uonerj9ld82qx,e4282tj4jnq8h2to6sjr08jl,7,1,Midfielder,Right,NaN,26,2,5,5,6,NaN,NaN,22,28,7,90,4,2,3,25,8,9,1,1,1,3,NaN,3,NaN,1,2,1,NaN,NaN,1,NaN,NaN,NaN,NaN,,,343,NaN,GKS Katowice vs Radomiak Radom,3exxgrwhhc54jow8nbubjjvo4,2024-07-20
Borja Galán,a0zpetflr8gttr03gfqjvxi39,e4282tj4jnq8h2to6sjr08jl,5,2,Striker,Left/Centre,NaN,11,NaN,5,13,1,NaN,NaN,13,17,2,84,6,6,2,29,7,12,1,2,3,NaN,NaN,8,NaN,2,5,3,NaN,2,NaN,NaN,NaN,1,NaN,,,343,NaN,GKS Katowice vs Radomiak Radom,3exxgrwhhc54jow8nbubjjvo4,2024-07-20
S. Bergier,awe3km1oqe0ooqombcz6zj04q,e4282tj4jnq8h2to6sjr08jl,6,5,Striker,Centre,NaN,8,1,2,1,3,NaN,1,8,9,3,64,1,2,1,9,4,5,1,NaN,1,1,1,NaN,1,1,3,1,1,NaN,NaN,NaN,1,NaN,NaN,,,343,NaN,GKS Katowice vs Radomiak Radom,3exxgrwhhc54jow8nbubjjvo4,2024-07-20
A. Błąd,4czvb5mgp2vc80xu80gcsao5x,e4282tj4jnq8h2to6sjr08jl,1,1,Striker,Centre/Right,NaN,20,NaN,NaN,5,7,1,NaN,13,25,7,71,7,4,4,21,9,13,NaN,NaN,NaN,NaN,1,3,1,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,,,343,NaN,GKS Katowice vs Radomiak Radom,3exxgrwhhc54jow8nbubjjvo4,2024-07-20
J. Arak,7dd79dc2bwcugqyn3fjs3emt,e4282tj4jnq8h2to6sjr08jl,NaN,NaN,Substitute,NaN,Attacker,3,NaN,1,1,1,NaN,NaN,2,4,1,6,NaN,NaN,NaN,4,1,1,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,343,NaN,GKS Katowice vs Radomiak Radom,3exxgrwhhc54jow8nbubjjvo4,2024-07-20
A. Bród,cwmmiuio76em9a2aalcvk7huc,e4282tj4jnq8h2to6sjr08jl,NaN,NaN,Substitute,NaN,Midfielder,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,343,NaN,GKS Katowice vs Radomiak Radom,3exxgrwhhc54jow8nbubjjvo4,2024-07-20
A. Czerwiński,4k6q76mgnuplycboirg98tzh1,e4282tj4jnq8h2to6sjr08jl,1,1,Substitute,NaN,Defender,8,NaN,2,5,NaN,NaN,NaN,8,9,NaN,18,NaN,NaN,1,13,4,4,NaN,NaN,NaN,1,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,343,NaN,GKS Katowice vs Radomiak Radom,3exxgrwhhc54jow8nbubjjvo4,2024-07-20
B. Jaroszek,cxd642lcm5z27xm9kdr0uqj1l,e4282tj4jnq8h2to6sjr08jl,NaN,NaN,Substitute,NaN,Defender,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,343,NaN,GKS Katowice vs Radomiak Radom,3exxgrwhhc54jow8nbubjjvo4,2024-07-20
M. Kuusk,9t8s1wtc6higz8ernnk0t9ck5,e4282tj4jnq8h2to6sjr08jl,NaN,NaN,Substitute,NaN,Defender,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,343,NaN,GKS Katowice vs Radomiak Radom,3exxgrwhhc54jow8nbubjjvo4,2024-07-20
M. Marzec,1s2hnit6uh6b651m3jn9w52p5,e4282tj4jnq8h2to6sjr08jl,2,NaN,Substitute,NaN,Midfielder,4,1,4,2,NaN,NaN,NaN,5,7,NaN,19,2,3,NaN,8,2,5,1,NaN,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,,,343,1,GKS Katowice vs Radomiak Radom,3exxgrwhhc54jow8nbubjjvo4,2024-07-20
S. Milewski,t9owwo6qmjsfv8e4b304lejt,e4282tj4jnq8h2to6sjr08jl,NaN,NaN,Substitute,NaN,Midfielder,27,1,6,3,7,NaN,1,21,32,7,45,8,13,4,27,9,14,NaN,NaN,NaN,4,2,1,2,1,1,1,NaN,NaN,1,NaN,NaN,NaN,NaN,,,343,NaN,GKS Katowice vs Radomiak Radom,3exxgrwhhc54jow8nbubjjvo4,2024-07-20
P. Szczuka,c6qsnn5fewykplrfk5ngn31pm,e4282tj4jnq8h2to6sjr08jl,NaN,NaN,Substitute,NaN,Goalkeeper,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,343,NaN,GKS Katowice vs Radomiak Radom,3exxgrwhhc54jow8nbubjjvo4,2024-07-20
